label,perf_L1_dcache_load_misses,perf_L1_dcache_loads,perf_LLC_load_misses,perf_LLC_loads,perf_branch_instructions,perf_branch_miss_rate,perf_branch_misses,perf_cache_miss_rate,perf_cache_misses,perf_cache_references,perf_context_switches,perf_cpu_migrations,perf_cycles,perf_instructions,perf_ipc,perf_page_faults,t_wall,temp_aux-therm_c,temp_cpu-therm_c,temp_gpu-therm_c,temp_thermal-fan-est_c,temp_ttp-therm_c,ts_unix
trojan_compute,12514836.671295166,113265841.1694336,7565920.757446289,34967659.12060547,87523604.54003906,0.019271554794661017,1686715.9407196045,0.12398073292440284,31889512.39831543,257213452.8173828,37.286312616663054,0.6119253956203465,352584313.0859375,514844732.5878906,1.460203172630668,24.81176967266947,0.20027395900251577,39.582,39.075,38.479,39.093,39.07,1766332140.9202018
trojan_compute,11617618.743469238,112675274.70410156,6735972.129821777,33039955.5579834,87067257.72583008,0.018030344262700306,1569852.6308059692,0.12077833524493725,29849813.8548584,247145432.1201172,34.12412407528609,0.5448216764652898,333628719.5527344,512160339.5644531,1.5351206582306818,23.175693806027994,0.3002559000015026,39.58,39.083,38.489,39.104,39.071,1766332141.020214
trojan_compute,11319462.199707031,113976287.77392578,6420149.275634766,32514530.247802734,88072586.00708008,0.013398500559014686,1180040.5928497314,0.11898568350098282,29206760.93798828,245464496.89257812,40.17557611456141,0.5797982698004489,337779155.26171875,518074035.3359375,1.533765560324533,26.271595178404823,0.4001312570035225,39.58,39.071,38.486,39.104,39.071,1766332141.1199386
trojan_compute,10605989.540588379,113700634.24267578,5803883.121612549,30996530.341552734,87859581.00561523,0.013968158744099624,1227236.5746765137,0.10671348583583383,25363023.3873291,237674022.06640625,31.0194712234661,0.6313712258634041,308000513.4560547,516821064.73828125,1.6779876726147762,27.462499816319905,0.5001723649984342,39.58,39.071,38.486,39.104,39.071,1766332141.2200632
trojan_compute,19712279.532226562,225856318.56152344,10402938.838256836,58727995.55126953,174525337.07006836,0.01695930440456361,2959828.317680359,0.10470246314652852,47943165.5826416,457899118.5292969,66.96976632752921,1.087434026741903,616972261.2626953,1026619629.8242188,1.663963996895321,48.17978293413762,0.6001928690020577,39.565,39.076,38.489,39.095,39.025,1766332141.3201303
trojan_compute,10305430.868591309,127160423.97460938,5229389.990753174,31401356.114013672,98260327.61669922,0.015570030128272619,1529916.2614059448,0.11078083012921107,27638386.81652832,249487088.91503906,34.870388769428246,0.6436189990199637,328040890.06933594,578001927.1582031,1.7619813403019193,21.087891631410457,0.7001983980007935,39.565,39.089,38.485,39.095,39.025,1766332141.4204102
trojan_compute,9606541.523590088,122022363.03955078,4803667.3154296875,29539919.234375,94290007.8034668,0.015470206591464251,1458685.9002304077,0.09145673506480576,21624316.966064453,236443132.92773438,36.10498618253041,0.47994584680600383,333649108.125,554647104.7265625,1.6623665138609234,19.806438797037117,0.8002895500030718,39.565,39.105,38.505,39.095,39.025,1766332141.5203502
trojan_compute,9696254.15737915,130427029.02050781,4713985.50769043,30374640.3248291,100784522.42504883,0.015645276393038598,1576801.7094802856,0.08082985626507748,19943087.60961914,246729222.7294922,38.47167985828128,0.6013499000182492,338628782.7988281,592850131.9121094,1.7507375687680646,21.912853345507756,0.9002252420032164,39.56,39.09,38.513,39.105,38.972,1766332141.619798
trojan_compute,8910335.183258057,122292241.10546875,4290544.793670654,28100106.34362793,94498549.9453125,0.013550269746932977,1280480.842453003,0.08017305460589078,18394933.182739258,229440343.43164062,38.50575552508235,0.5729844181951194,323938318.8203125,555873823.2070312,1.7159866274275895,19.315865185461007,1.0000723589982954,39.56,39.09,38.513,39.105,38.972,1766332141.719541
trojan_compute,11778378.545562744,152805467.75830078,5828034.982971191,36464151.8112793,118076952.35888672,0.01563643294408125,1846302.3478012085,0.07701184439218375,22599280.40246582,293452008.33496094,43.399332068744116,0.6130073856438685,396502396.8388672,694570307.9921875,1.7517430248333423,21.03889078577049,1.1000770070022554,39.56,39.109,38.506,39.105,38.972,1766332141.8194501
